question,answer_llm,answer_orig,document
Can I still join the course if I just found out about it?,"Yes, you can still join the course. If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it too late to start this course now?,"You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the course management platform.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join late, can I still get a certificate somehow?","Yes, but only if you complete the capstone project and required peer reviews while a live cohort is still accepting submissions. You can work through the course in self-paced mode, but you won’t get a certificate unless you finish with the live cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for the certificate if I'm starting now?,"To be eligible for the certificate, you need to:

- **Finish the capstone project**
- **Complete the required peer reviews**
- Do this **while a live cohort is accepting submissions**

Homework is **not required** for the certificate.

If you're starting now, you can still work on the material and prepare your project in self-paced mode, but **project submission and peer review must happen during a live cohort**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Are project submissions still open for new students who just joined?,"Yes — if the submission form is still open, new students who just joined can still submit their project. For certificate eligibility, they need to submit while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email. Do I still count as registered?","Yes — you still count as registered/accepted. You don’t need to wait for a confirmation email, and registration is only used to gauge interest before the start date. It’s not checked against a registered list, so you can just start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I need to wait for some approval or confirmation before I can start the course and submit homework?,"No. You don’t need to wait for approval or a confirmation email.

You’re accepted, and you can start learning and submitting homework right away while the submission form is open. Registration is just for tracking interest, and it’s not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I registered for the course, is there a list they check before accepting homework submissions?",No. The course says submissions are **not checked against a registered list**. You can start learning and submitting homework while the form is open without registering.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is the point of registration if I can already begin learning without any email back?,Registration is just to gauge interest before the start date. You don’t need to wait for a confirmation email to start learning or submitting homework while the form is open. You're accepted.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I just start doing the LLM Zoomcamp assignments now even if I didn’t get any registration confirmation?,"Yes — you can start doing the LLM Zoomcamp assignments without waiting for a registration confirmation email.

According to the course info, you’re already accepted, and registration is only used to gauge interest. You can start learning and submitting homework while the form is open, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
