question,document
Can I still join the course if I just found out about it?,74eb249bbf
Is it too late to start this course now?,74eb249bbf
"If I join late, can I still get a certificate somehow?",74eb249bbf
What do I need to do to be eligible for the certificate if I'm starting now?,74eb249bbf
Are project submissions still open for new students who just joined?,74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email. Do I still count as registered?",977bf7786c
Do I need to wait for some approval or confirmation before I can start the course and submit homework?,977bf7786c
"If I registered for the course, is there a list they check before accepting homework submissions?",977bf7786c
What is the point of registration if I can already begin learning without any email back?,977bf7786c
Can I just start doing the LLM Zoomcamp assignments now even if I didn’t get any registration confirmation?,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,489dd1c9d9
Where can I find the live video link for an upcoming office hours session before it starts?,489dd1c9d9
"If I’m watching a live session as a student, should I ask questions in the chat or use something else?",489dd1c9d9
What’s the best way to submit questions during the live workshop or office hours stream?,489dd1c9d9
"Can I watch the course office hours live on YouTube, and where do I get the link?",489dd1c9d9
What's the best way to get started with LLM Zoomcamp if I'm joining late?,04919992b3
"Where should I look first for the course materials, docs, and repo before following along?",04919992b3
How do the weekly lessons and homework usually work in this course?,04919992b3
"Do I have to start on a specific date, or can I begin the course whenever I want?",04919992b3
"What’s the usual order for watching videos, doing notebooks, reading homework, and submitting answers?",04919992b3
How do I find my entry on the leaderboard if I can’t spot my name right away?,c2903069a0
Why did I get a random display name instead of my real name on the leaderboard?,c2903069a0
Where can I check what nickname or display name is currently shown for my course account?,c2903069a0
Can I change the name that appears publicly on the leaderboard to my Slack or GitHub handle?,c2903069a0
What name should I put in my profile if I want my certificate to show my real official name instead of the default one?,c2903069a0
"Can I take the course at my own pace and still earn the certificate, or do I need to be in a live cohort?",69d122f12e
What do I have to complete to get the certificate in this course?,69d122f12e
"Do I need to do all the homework to receive the certificate, or is the capstone enough?",69d122f12e
"If I study in self-paced mode, can I later submit the project and do peer reviews for the certificate?",69d122f12e
Is the certificate available only when I finish the course with a live cohort?,69d122f12e
Do I still qualify for the certificate if I skipped the first homework?,9f689c185f
Is homework actually required to get the course certificate?,9f689c185f
What do I need to pass in order to receive the certificate?,9f689c185f
"If homework is optional, does it still affect anything like ranking or points?",9f689c185f
Can I miss some homework and still finish the course with a certificate?,9f689c185f
Why does the homework keep changing sometimes?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
When can I treat a homework assignment as final and start working on it safely?,96286b4be4
"Is homework ready as soon as it shows up in the course platform, or only after something else happens?",96286b4be4
"Can I trust the homework content before the draft tag is gone, or could it still be updated later?",96286b4be4
When is llm-zoomcamp going to run again?,bd31146b0e
Do you know the next time this course will be offered?,bd31146b0e
Is there a planned date for the next llm-zoomcamp session?,bd31146b0e
When can I expect the course to be available again?,bd31146b0e
What’s the next offering of the course after this one?,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f
Is there a main page or repo I should open first to get to the lesson videos?,31456f4b5f
How do I know which video goes with each lesson in the course?,31456f4b5f
Do the lesson pages in the GitHub repo have the lecture links at the top?,31456f4b5f
Should I use the GitHub repository or the YouTube playlist as the main source for the videos?,31456f4b5f
Where do I go to keep track of the LLM Zoomcamp syllabus and homework deadlines?,20c5a1347e
Is there a course platform for checking my progress in LLM Zoomcamp?,20c5a1347e
How do I see the current cohort structure and assigned homework for this zoomcamp?,20c5a1347e
What’s the official place to follow deadlines and progress updates for LLM Zoomcamp?,20c5a1347e
Does LLM Zoomcamp use a management platform like the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do we get live sessions or office hours for every module in the course, or is it mostly recorded material?",d65e05bd7a
"If there aren’t regular live classes, where should I ask when I get stuck on a module?",d65e05bd7a
How do I know when a live session is happening for this course?,d65e05bd7a
Is there any optional paid support with Zoom office hours for extra help?,d65e05bd7a
"Are the LLM Zoomcamp materials available for free in the course repo, or do I need to attend live to follow along?",d65e05bd7a
Can I count my Bluesky posts toward the learning in public requirement?,dbf5369006
Are Bluesky posts accepted for learning in public credits in this course?,dbf5369006
"If I post about the course on Bluesky, does that qualify for public learning credits?",dbf5369006
Do Bluesky updates work as proof for learning in public?,dbf5369006
Is Bluesky a valid platform to earn learning in public credits?,dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram group?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what’s the URL?",054f3fd58f
What should I use the Telegram channel for in this course?,054f3fd58f
"If I have technical questions, should I ask them in Telegram or somewhere else?",054f3fd58f
Why does my FAQ doc count not match the one shown in the video?,e2d595f23c
"I built the RAG notebook from the latest FAQ data, but the answers are different from the lecture — is that expected?",e2d595f23c
"Did the course dataset change after the videos were recorded, and could that explain different retrieval results?",e2d595f23c
How can I make my RAG setup match the exact output from the recorded lesson?,e2d595f23c
"If my notebook uses a newer FAQ snapshot, does a different final answer mean my code is broken?",e2d595f23c
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe
"The deadline is over, but the submission page is open — does that mean I can still submit?",a9353fadfe
Is late homework accepted as long as the form hasn’t been closed yet?,a9353fadfe
"If I missed the deadline, can I still send my answers while the submission form is open?",a9353fadfe
When does homework submission actually stop — at the deadline or only after the form closes?,a9353fadfe
Can I still hand in homework if the deadline already passed but the form is open?,cdc3b285e5
Do you ever give individual deadline extensions for homework in this course?,cdc3b285e5
What happens if I miss a homework assignment — does it hurt my certificate eligibility?,cdc3b285e5
Are late homework submissions accepted after the submission form closes?,cdc3b285e5
"Does homework count toward the certificate, or is it only for the leaderboard?",cdc3b285e5
Is the name I enter for the certificate ever visible to other people or posted online somewhere?,651ba06b34
What name shows up on the public leaderboard if I change the certificate name in my profile?,651ba06b34
Can I use a real name on the certificate but keep a nickname on the leaderboard?,651ba06b34
Where do I set the public display name versus the certificate name in the course profile?,651ba06b34
"Does the certificate name get shared with anyone outside the course, like third parties?",651ba06b34
Will the course certificate include the total number of hours I completed?,5cc511f85b
Does the certificate mention how many hours the course takes?,5cc511f85b
Is there any course-hours info shown on the final certificate?,5cc511f85b
Can I see the number of hours on the certificate after finishing the course?,5cc511f85b
Does the certificate list total hours spent in the course?,5cc511f85b
Why don’t we use LangChain in this course from the start?,b7cdde6b25
What’s the reason for building the RAG parts manually instead of using a framework?,b7cdde6b25
"Is LangChain required for the course, or are we supposed to learn the basics first?",b7cdde6b25
"Why does the course focus on prompting, retrieval, indexing, and evaluation before any framework?",b7cdde6b25
What’s the benefit of not relying on LangChain right away when learning RAG?,b7cdde6b25
Why am I getting an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59
Could the responses.create command fail because my OpenAI account has no credits left?,f5df151c59
"What does it mean if I see ""OpenAI API Error: Insufficient credits"" in the OpenAI SDK?",f5df151c59
How do I fix the error that appears when using responses.create and says I have insufficient credits?,f5df151c59
Is there a common reason the OpenAI responses.create call throws an insufficient credits error?,f5df151c59
Why am I getting RateLimitError 429 from OpenAI even though my code looks fine?,152af39a53
"What does ""you exceeded your current quota"" mean in the OpenAI API error?",152af39a53
Do I need to pay or add credits before I can use the OpenAI API in this course?,152af39a53
"After topping up my OpenAI account, do I need to make a new API key too?",152af39a53
How do I fix the 429 insufficient_quota error when calling responses.create()?,152af39a53
How much money do I actually need to spend to use the OpenAI API for this course?,554d0eb78b
"Do I need to add a lot of credit to start using the OpenAI API, or is a small top-up enough?",554d0eb78b
"If I use the OpenAI API for the course, will it be expensive or just a tiny cost?",554d0eb78b
"What is the minimum amount I can recharge on OpenAI, and is it enough for the course work?",554d0eb78b
"Is using the OpenAI API in the course basically cheap, or should I expect real costs?",554d0eb78b
Do I need to pay for the OpenAI API to finish the homework in this course?,85384a18e5
Is an OpenAI subscription required for the llm-zoomcamp assignments?,85384a18e5
Can I complete the course without spending money on OpenAI API usage?,85384a18e5
Are there any free or cheaper options instead of OpenAI API for the homework?,85384a18e5
Where can I find alternatives to the OpenAI API in the course resources?,85384a18e5
Why does the course use uv instead of pip and virtualenv for setting up the project?,f81dea8f7e
"Do I really need to use uv in this course, or can I just stick with pip and virtualenv?",f81dea8f7e
What makes uv faster or more convenient than the usual Python setup tools?,f81dea8f7e
"Can uv handle Python versions, environments, and dependencies all by itself?",f81dea8f7e
"What traditional tools does uv replace, and why is that useful for the lessons?",f81dea8f7e
Why does my Jupyter notebook say OPENAI_API_KEY is missing even though I added it to .env?,86d99bbf21
Do I need python-dotenv for the API key to show up in the notebook?,86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,86d99bbf21
What exact name should I use for the key in the .env file for OpenAI?,86d99bbf21
"If the notebook can't find my API key, what should I check first?",86d99bbf21
How do I keep my API keys in a .env file and load them in Python for this course?,233dabe430
What’s the right way to use python-dotenv to read OPENAI_API_KEY and the other keys?,233dabe430
Should I add .env to gitignore before putting my secrets there?,233dabe430
"Can I store OpenAI, Groq, and Gemini keys in one .env file, and how do I access them?",233dabe430
What is the simplest setup for loading secret keys from .env without hardcoding them in code?,233dabe430
"Can I switch to a different LLM provider for the homework, or do I have to use the one in the instructions?",ee43413718
"Is OpenAI the only option for the assignment, or can I use Gemini, Groq, Azure OpenAI, or a local model instead?",ee43413718
"If I use another model provider, what parts of the code might I need to change for it to work?",ee43413718
"Do I need to pay for a model service to finish the homework, or is there a free option?",ee43413718
Where can I find a list of OpenAI API alternatives that are okay to use in this course?,ee43413718
How can I connect a Gemini API key to the Module 1 notebook using the OpenAI-style endpoint?,0ae5c221b9
What do I need in my .env file and client setup to call Google Gemini from the course notebook?,0ae5c221b9
How do I write the helper function for Gemini when using the OpenAI-compatible URL instead of the usual API?,0ae5c221b9
Why does the notebook code need changes if I use Gemini through chat completions rather than the Responses format?,0ae5c221b9
What parts of the Module 1 notebook should I update when switching to a Google Gemini model name and OpenAI-compatible client?,0ae5c221b9
How do I get a Pydantic object back from Gemini through the OpenAI-compatible API when `responses.parse` doesn't work?,341f71f28c
"Can I still use the OpenAI SDK for structured output with Gemini, and if so, which method should I call?",341f71f28c
What does the Pydantic model need to look like if I want Gemini to return a list of FAQ items?,341f71f28c
How do I set up `chat.completions.parse` with `response_format` so I can read the parsed result directly?,341f71f28c
"If I'm using Google’s OpenAI-style endpoint, how do I avoid manual JSON parsing and get `result.questions` as a real object?",341f71f28c
"How do I install Ollama on Mac, Windows, or Linux?",1d0b969028
"After installing Ollama, what command should I run to get the model working locally?",1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
What do I need to install in Python before I can use Ollama from a script?,1d0b969028
Can you show a small Python example for chatting with llama3 through Ollama?,1d0b969028
"Why do I get a connection refused error when I try prompting my Ollama RAG homework, and how can I fix it?",c6fc2d4d11
My Ollama server seems dead during the RAG assignment — what should I restart so the notebook works again?,c6fc2d4d11
Is there a command to bring Ollama back up if the connection gets refused in the homework notebook?,c6fc2d4d11
"After I stop and rerun the notebook, Ollama stops responding. What cell or command do I need to run again?",c6fc2d4d11
What’s the quickest way to recover from a refused connection while working on the Module 1 RAG exercise with Ollama?,c6fc2d4d11
Why does `tiktoken` show a smaller token count than OpenAI’s usage numbers for the same prompt?,bf0403d21b
Is it normal for `chat.completions.create()` to add extra tokens beyond the text I send?,bf0403d21b
How can OpenAI report 327 tokens when my prompt text only comes out to 320 in `tiktoken`?,bf0403d21b
Do chat messages have hidden formatting tokens that affect the final token total?,bf0403d21b
"Could spaces, line breaks, or weird Unicode be the reason my token count is off from the API?",bf0403d21b
"How can I make my API key load automatically when I enter a project folder, so I don’t have to export it in every new terminal?",8b2f5e9d04
Is there a tool that works like direnv but can read both .env and .envrc files across different shells and operating systems?,8b2f5e9d04
What’s the setup to use dirdotenv with bash or zsh for environment variables in a project?,8b2f5e9d04
"If I’m on GitHub Codespaces, what should I use for secrets instead of putting them in the repo files?",8b2f5e9d04
How do I load a .env file in a Python script without setting variables manually in the shell?,8b2f5e9d04
How do I decide what weights to use for different fields in minsearch or a similar search engine?,87d4ea4e08
Is there a better way than just guessing field weights when tuning search relevance?,87d4ea4e08
What’s the recommended method for testing different field weight settings against a labeled dataset?,87d4ea4e08
Should I evaluate hit rate or MRR when comparing field weights for retrieval?,87d4ea4e08
"Can I tune search field weights by trial and error, or do I need a proper evaluation setup?",87d4ea4e08
What should I do to clean up my source docs before using them in a RAG pipeline?,649c280e6d
"When preparing data for retrieval, what kinds of junk text or formatting should I remove?",649c280e6d
"Do I need to keep things like headings, dates, or page numbers, or should I strip them out?",649c280e6d
What’s a good format to save documents in so they’re easy to chunk and search later?,649c280e6d
How should I chunk documents and what metadata is worth keeping for RAG?,649c280e6d
"When uv says it failed to hardlink files in GitHub Codespaces, do I need to worry or is it just a warning?",acf8fa5356
What does uv do if it can’t hardlink between the cache and my Codespaces environment?,acf8fa5356
How can I stop the hardlink warning in my current shell when using uv?,acf8fa5356
What’s the easiest way to make UV_LINK_MODE=copy stay set every time I open a terminal?,acf8fa5356
Is there any official uv docs page I should check for this hardlink/copy behavior?,acf8fa5356
"I keep seeing ""dotenv is not recognized"" when I run my script — what package do I need to install?",0bed1f48da
How do I add dotenv support in a Python project for loading .env files?,0bed1f48da
What should I install if `load_dotenv()` isn't available in my environment?,0bed1f48da
Is there a specific pip or uv package for using `from dotenv import load_dotenv`?,0bed1f48da
"After installing the right dotenv package, how do I import it and load my environment variables?",0bed1f48da
Can I do this course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally?",aa310de435
"If I skip Codespaces and work on my laptop, what tools do I need to install?",aa310de435
"Can I use a local environment for Module 1, or does the course expect Codespaces?",aa310de435
What should I be careful about if I choose to run the course setup on my computer?,aa310de435
"If I don’t commit my work in Codespaces, is it still kept somewhere or can it disappear?",610ccb23c0
